river_name,ship_type,distance_bin_km,n_records,bin_width_km,density_records_per_10km
Donau,Cargo,330,1,10,1
Donau,Cargo,440,241,10,241
Donau,Other,440,60,10,60
Donau,Passenger Ship,320,1,10,1
Donau,Passenger Ship,330,2,10,2
Donau,Passenger Ship,440,66,10,66
Donau,Unknown,320,5,10,5
Donau,Unknown,330,15,10,15
Donau,Unknown,350,1,10,1
Donau,Unknown,440,3134,10,3134
Elbe,Cargo,180,82,10,82
Elbe,Cargo,400,11,10,11
Elbe,Cargo,420,20,10,20
Elbe,Cargo,440,2628,10,2628
Elbe,Cargo,450,12337,10,12337
Elbe,Cargo,460,3233,10,3233
Elbe,Other,400,12,10,12
Elbe,Other,420,142,10,142
Elbe,Other,430,15,10,15
Elbe,Other,440,49,10,49
Elbe,Other,450,2412,10,2412
Elbe,Other,460,1332,10,1332
Elbe,Passenger Ship,0,739,10,739
Elbe,Passenger Ship,160,11,10,11
Elbe,Passenger Ship,170,827,10,827
Elbe,Passenger Ship,220,318,10,318
Elbe,Passenger Ship,420,117,10,117
Elbe,Passenger Ship,430,677,10,677
Elbe,Passenger Ship,440,1348,10,1348
Elbe,Passenger Ship,450,31476,10,31476
Elbe,Passenger Ship,460,4373,10,4373
Elbe,Tanker,180,161,10,161
Elbe,Tanker,200,1,10,1
Elbe,Tanker,210,3,10,3
Elbe,Tanker,220,16,10,16
Elbe,Tanker,230,1,10,1
Elbe,Tanker,400,12,10,12
Elbe,Tanker,420,96,10,96
Elbe,Tanker,430,9,10,9
Elbe,Tanker,440,1942,10,1942
Elbe,Tanker,450,4924,10,4924
Elbe,Tanker,460,3037,10,3037
Elbe,Unknown,0,2471,10,2471
Elbe,Unknown,140,186,10,186
Elbe,Unknown,160,331,10,331
Elbe,Unknown,170,424,10,424
Elbe,Unknown,180,1328,10,1328
Elbe,Unknown,230,447,10,447
Elbe,Unknown,390,3,10,3
Elbe,Unknown,400,688,10,688
Elbe,Unknown,420,802,10,802
Elbe,Unknown,430,19,10,19
Elbe,Unknown,440,1703,10,1703
Elbe,Unknown,450,8362,10,8362
Elbe,Unknown,460,5608,10,5608
Elbe,Wing In Ground,420,6,10,6
Elbe,Wing In Ground,430,243,10,243
Elbe,Wing In Ground,440,7,10,7
Elbe,Wing In Ground,450,30,10,30
Ems,Cargo,190,5,10,5
Ems,Cargo,200,15,10,15
Ems,Cargo,220,6,10,6
Ems,Cargo,230,68,10,68
Ems,Cargo,250,2,10,2
Ems,Unknown,90,1,10,1
Ems,Unknown,170,58,10,58
Ems,Unknown,190,172,10,172
Ems,Unknown,200,1,10,1
Ems,Unknown,210,64,10,64
Ems,Unknown,220,172,10,172
Ems,Unknown,230,3,10,3
Ems,Unknown,240,2,10,2
Ems,Unknown,250,56,10,56
Ems,Unknown,260,75,10,75
Ems,Unknown,270,558,10,558
Main,Cargo,280,4,10,4
Main,Cargo,410,8,10,8
Main,Cargo,420,278,10,278
Main,Cargo,440,3,10,3
Main,Cargo,450,31,10,31
Main,Other,300,3,10,3
Main,Passenger Ship,200,7,10,7
Main,Passenger Ship,420,291,10,291
Main,Passenger Ship,440,2,10,2
Main,Passenger Ship,450,2,10,2
Main,Special Craft,190,171,10,171
Main,Tanker,400,5,10,5
Main,Tanker,410,5,10,5
Main,Tanker,420,95,10,95
Main,Tanker,440,5,10,5
Main,Tanker,450,14,10,14
Main,Unknown,140,19,10,19
Main,Unknown,170,2,10,2
Main,Unknown,190,598,10,598
Main,Unknown,200,7,10,7
Main,Unknown,220,1,10,1
Main,Unknown,250,1,10,1
Main,Unknown,280,461,10,461
Main,Unknown,300,2,10,2
Main,Unknown,350,2,10,2
Main,Unknown,400,44,10,44
Main,Unknown,410,29,10,29
Main,Unknown,420,3106,10,3106
Main,Unknown,430,46,10,46
Main,Unknown,440,37,10,37
Main,Unknown,450,145,10,145
Mosel,Cargo,300,8,10,8
Mosel,Cargo,310,67,10,67
Mosel,Cargo,320,165,10,165
Mosel,Cargo,370,2,10,2
Mosel,Cargo,420,3,10,3
Mosel,Cargo,430,25,10,25
Mosel,Cargo,440,23,10,23
Mosel,Cargo,450,1,10,1
Mosel,Cargo,480,44,10,44
Mosel,Other,310,112,10,112
Mosel,Other,320,40,10,40
Mosel,Other,400,179,10,179
Mosel,Other,410,2,10,2
Mosel,Other,430,96,10,96
Mosel,Other,440,22,10,22
Mosel,Other,450,1,10,1
Mosel,Other,480,27,10,27
Mosel,Tanker,310,9,10,9
Mosel,Tanker,320,6,10,6
Mosel,Tanker,420,3,10,3
Mosel,Tanker,430,2,10,2
Mosel,Unknown,260,2,10,2
Mosel,Unknown,300,17,10,17
Mosel,Unknown,310,287,10,287
Mosel,Unknown,320,249,10,249
Mosel,Unknown,340,1,10,1
Mosel,Unknown,350,2,10,2
Mosel,Unknown,360,26,10,26
