section,variable,value
available_resources,resource,ais_dynamic
available_resources,resource,ais_dynamic_daily_counts
available_resources,resource,ais_dynamic_daily_counts_mat
available_resources,resource,ais_germany
available_resources,resource,ais_static
available_resources,resource,geography_columns
available_resources,resource,geometry_columns
available_resources,resource,germany_h3
available_resources,resource,ingested_files
row_counts,table,ais_static
row_counts,count_method,exact HEAD count
row_counts,n_rows,228427
row_counts,table,ais_dynamic
row_counts,count_method,planned / approximate HEAD count
row_counts,n_rows,826793024
row_counts,table,ais_germany
row_counts,count_method,planned / approximate HEAD count
row_counts,n_rows,389947776
distinct_vessels,source,ais_static
distinct_vessels,logic,ais_static contains one row per MMSI; therefore the exact HEAD row count is used as the number of distinct vessels
distinct_vessels,distinct_mmsi,228427
ship_type_counts_top30,ship_type,Other
ship_type_counts_top30,n,57974
ship_type_counts_top30,ship_type,Cargo
ship_type_counts_top30,n,51781
ship_type_counts_top30,ship_type,Fishing Vessel
ship_type_counts_top30,n,34736
ship_type_counts_top30,ship_type,Tanker
ship_type_counts_top30,n,16496
ship_type_counts_top30,ship_type,Tug
ship_type_counts_top30,n,13257
ship_type_counts_top30,ship_type,Pleasure Craft
ship_type_counts_top30,n,9014
ship_type_counts_top30,ship_type,Special Craft
ship_type_counts_top30,n,7624
ship_type_counts_top30,ship_type,Passenger Ship
ship_type_counts_top30,n,7147
ship_type_counts_top30,ship_type,Sailing Vessel
ship_type_counts_top30,n,5164
ship_type_counts_top30,ship_type,High-Speed Craft
ship_type_counts_top30,n,1227
ship_type_counts_top30,ship_type,Search and Rescue
ship_type_counts_top30,n,1201
ship_type_counts_top30,ship_type,Wing In Ground
ship_type_counts_top30,n,644
ship_type_counts_top30,ship_type,Reserved
ship_type_counts_top30,n,320
flag_counts_top30,flag,CN
flag_counts_top30,n,67214
flag_counts_top30,flag,US
flag_counts_top30,n,13771
flag_counts_top30,flag,PA
flag_counts_top30,n,8024
flag_counts_top30,flag,NL
flag_counts_top30,n,7635
flag_counts_top30,flag,NO
flag_counts_top30,n,7303
flag_counts_top30,flag,ID
flag_counts_top30,n,6538
flag_counts_top30,flag,VN
flag_counts_top30,n,6308
flag_counts_top30,flag,LR
flag_counts_top30,n,5629
flag_counts_top30,flag,MH
flag_counts_top30,n,4991
flag_counts_top30,flag,KR
flag_counts_top30,n,4903
flag_counts_top30,flag,JP
flag_counts_top30,n,4810
flag_counts_top30,flag,GB
flag_counts_top30,n,4418
flag_counts_top30,flag,SG
flag_counts_top30,n,4161
flag_counts_top30,flag,DE
flag_counts_top30,n,4098
flag_counts_top30,flag,MT
flag_counts_top30,n,3056
flag_counts_top30,flag,AU
flag_counts_top30,n,3055
flag_counts_top30,flag,HK
flag_counts_top30,n,2800
flag_counts_top30,flag,RU
flag_counts_top30,n,2595
flag_counts_top30,flag,ES
flag_counts_top30,n,2574
flag_counts_top30,flag,DK
flag_counts_top30,n,2560
flag_counts_top30,flag,FR
flag_counts_top30,n,2537
flag_counts_top30,flag,CA
flag_counts_top30,n,2334
flag_counts_top30,flag,IN
flag_counts_top30,n,2272
flag_counts_top30,flag,TR
flag_counts_top30,n,2200
flag_counts_top30,flag,IT
flag_counts_top30,n,1964
flag_counts_top30,flag,TW
flag_counts_top30,n,1928
flag_counts_top30,flag,CY
flag_counts_top30,n,1831
flag_counts_top30,flag,BR
flag_counts_top30,n,1818
flag_counts_top30,flag,SA
flag_counts_top30,n,1607
flag_counts_top30,flag,PT
flag_counts_top30,n,1595
most_common_flag,flag,CN
most_common_flag,n,67214
ais_static_column_overview,column,mmsi
ais_static_column_overview,guessed_r_type,integer
ais_static_column_overview,n_non_missing,228427
ais_static_column_overview,example_values,"355289000, 367168640, 308621000, 229630000, 244660429"
ais_static_column_overview,column,imo
ais_static_column_overview,guessed_r_type,integer
ais_static_column_overview,n_non_missing,121121
ais_static_column_overview,example_values,"8918978, 9243162, 9169744, 9365960, 0"
ais_static_column_overview,column,name
ais_static_column_overview,guessed_r_type,character
ais_static_column_overview,n_non_missing,214784
ais_static_column_overview,example_values,"MSC SUEZ, CHARLESTON EXPRESS, GSP ALTAIR, X-PRESS MULHACEN, RS ALINDA@@@@@@@@@@@"
ais_static_column_overview,column,call_sign
ais_static_column_overview,guessed_r_type,character
ais_static_column_overview,n_non_missing,184208
ais_static_column_overview,example_values,"HPMS, WDD6126, C6PW6, 9HA3465, PH4782@"
ais_static_column_overview,column,flag
