ship_type,hour,mmsi,msg_timestamp,latitude,longitude,speed,course,heading,collection_type,sample_method
Cargo,0,257723000,2024-01-24T00:00:25Z,55.46183,8.450593333333334,0,45.6,7,dynamic_classA,stratified_ship_type_hour
Cargo,0,419123456,2024-01-24T00:19:27Z,23.774821666666664,68.23158166666666,0.1,175.5,511,dynamic_classB,stratified_ship_type_hour
Cargo,0,257723000,2024-01-24T00:00:31Z,55.46183,8.450593333333334,0,45.6,7,dynamic_classA,stratified_ship_type_hour
Cargo,0,257723000,2024-01-24T00:00:20Z,55.46183,8.450593333333334,0,45.6,7,dynamic_classA,stratified_ship_type_hour
Cargo,0,419123456,2024-01-24T00:01:28Z,23.774865,68.23154333333333,0,175.5,511,dynamic_classB,stratified_ship_type_hour
Cargo,0,257723000,2024-01-24T00:00:24Z,55.46183,8.450593333333334,0,45.6,7,dynamic_classA,stratified_ship_type_hour
Cargo,0,257723000,2024-01-24T00:00:23Z,55.46183,8.450593333333334,0,45.6,7,dynamic_classA,stratified_ship_type_hour
Cargo,0,419123456,2024-01-24T00:37:26Z,23.774866666666664,68.23155,0,175.5,511,dynamic_classB,stratified_ship_type_hour
Cargo,0,419123456,2024-01-24T00:55:26Z,23.774871666666666,68.231525,0,175.5,511,dynamic_classB,stratified_ship_type_hour
Cargo,0,271052110,2024-01-24T00:06:18Z,42.087808333333335,32.143631666666664,13.6,252.6,253,dynamic_classA,stratified_ship_type_hour
Cargo,1,538006508,2024-01-24T01:54:18Z,-37.91466333333334,40.045851666666664,11,96.6,94,satellite,stratified_ship_type_hour
Cargo,1,357484000,2024-01-24T01:57:41Z,20.927293333333335,106.76523999999999,0,96.4,511,dynamic_classA,stratified_ship_type_hour
Cargo,1,564310000,2024-01-24T01:56:01Z,1.0456666666666667,103.27035,0,214,343,dynamic_classA,stratified_ship_type_hour
Cargo,1,258041000,2024-01-24T01:57:49Z,61.93094833333334,5.11946,0,345.3,345,dynamic_classA,stratified_ship_type_hour
Cargo,1,441263000,2024-01-24T01:56:27Z,-12.51441,62.338611666666665,9,65.9,68,satellite,stratified_ship_type_hour
Cargo,1,636014714,2024-01-24T01:54:32Z,37.00512166666667,2.142841666666667,12.9,260,261,dynamic_classA,stratified_ship_type_hour
Cargo,1,372514000,2024-01-24T01:56:46Z,30.809073333333334,124.05574166666666,8.6,359.6,359,dynamic_classA,stratified_ship_type_hour
Cargo,1,368031000,2024-01-24T01:56:09Z,28.604401666666668,-94.22759500000001,0.4,218.7,186,dynamic_classA,stratified_ship_type_hour
Cargo,1,244750355,2024-01-24T01:56:15Z,51.817735,4.678633333333334,0,0,511,dynamic_classA,stratified_ship_type_hour
Cargo,1,477685600,2024-01-24T01:56:05Z,1.1408449999999999,103.726455,12.3,295,300,dynamic_classA,stratified_ship_type_hour
Cargo,1,636021251,2024-01-24T01:57:40Z,-22.152505,-40.652,15.6,51.2,51,dynamic_classA,stratified_ship_type_hour
Cargo,1,413700420,2024-01-24T01:54:26Z,31.329253333333334,122.618,0.4,150.5,352,dynamic_classA,stratified_ship_type_hour
Cargo,1,304690000,2024-01-24T01:57:03Z,36.69907,5.154765,0,36.6,323,dynamic_classA,stratified_ship_type_hour
Cargo,1,219854000,2024-01-24T01:57:24Z,53.59341666666667,8.153066666666668,0,348.6,167,dynamic_classA,stratified_ship_type_hour
Cargo,1,636021492,2024-01-24T01:57:19Z,39.01089833333333,121.69071666666667,0,229.2,511,dynamic_classA,stratified_ship_type_hour
Cargo,1,311001016,2024-01-24T01:55:24Z,46.240365,-123.721275,0.1,141.2,71,dynamic_classA,stratified_ship_type_hour
