section,variable,value
selected_intervals,interval_start,2024-01-24 19:15:00
selected_intervals,interval_end,2024-01-24 19:20:00
selected_intervals,interval_start,2024-01-24 08:05:00
selected_intervals,interval_end,2024-01-24 08:10:00
selected_intervals,interval_start,2024-01-24 22:05:00
selected_intervals,interval_end,2024-01-24 22:10:00
selected_intervals,interval_start,2024-01-24 05:40:00
selected_intervals,interval_end,2024-01-24 05:45:00
selected_intervals,interval_start,2024-01-24 01:15:00
selected_intervals,interval_end,2024-01-24 01:20:00
selected_intervals,interval_start,2024-01-24 23:10:00
selected_intervals,interval_end,2024-01-24 23:15:00
selected_intervals,interval_start,2024-01-24 14:30:00
selected_intervals,interval_end,2024-01-24 14:35:00
selected_intervals,interval_start,2024-01-24 22:00:00
selected_intervals,interval_end,2024-01-24 22:05:00
selected_intervals,interval_start,2024-01-24 23:00:00
selected_intervals,interval_end,2024-01-24 23:05:00
selected_intervals,interval_start,2024-01-24 08:00:00
selected_intervals,interval_end,2024-01-24 08:05:00
selected_intervals,interval_start,2024-01-24 15:20:00
selected_intervals,interval_end,2024-01-24 15:25:00
selected_intervals,interval_start,2024-01-24 12:50:00
selected_intervals,interval_end,2024-01-24 12:55:00
selected_intervals,interval_start,2024-01-24 22:20:00
selected_intervals,interval_end,2024-01-24 22:25:00
selected_intervals,interval_start,2024-01-24 19:25:00
selected_intervals,interval_end,2024-01-24 19:30:00
selected_intervals,interval_start,2024-01-24 14:40:00
selected_intervals,interval_end,2024-01-24 14:45:00
selected_intervals,interval_start,2024-01-24 10:15:00
selected_intervals,interval_end,2024-01-24 10:20:00
selected_intervals,interval_start,2024-01-24 18:30:00
selected_intervals,interval_end,2024-01-24 18:35:00
selected_intervals,interval_start,2024-01-24 19:40:00
selected_intervals,interval_end,2024-01-24 19:45:00
selected_intervals,interval_start,2024-01-24 21:30:00
selected_intervals,interval_end,2024-01-24 21:35:00
selected_intervals,interval_start,2024-01-24 21:05:00
selected_intervals,interval_end,2024-01-24 21:10:00
selected_intervals,interval_start,2024-01-24 08:40:00
selected_intervals,interval_end,2024-01-24 08:45:00
selected_intervals,interval_start,2024-01-24 04:20:00
selected_intervals,interval_end,2024-01-24 04:25:00
