distance_bin_km,n_records,bin_width_km,density_records_per_10km
0,999,10,999
10,1472,10,1472
30,1022,10,1022
40,1079,10,1079
50,2758,10,2758
60,2069,10,2069
70,10366,10,10366
80,886,10,886
90,417,10,417
100,1282,10,1282
110,566,10,566
120,235,10,235
130,145,10,145
140,117,10,117
150,4,10,4
160,36,10,36
170,20,10,20
180,154,10,154
190,223,10,223
200,208,10,208
210,141,10,141
220,131,10,131
230,152,10,152
240,8,10,8
250,608,10,608
260,642,10,642
270,1887,10,1887
280,2689,10,2689
290,5263,10,5263
300,5065,10,5065
310,4734,10,4734
320,13917,10,13917
330,7167,10,7167
340,5175,10,5175
350,3817,10,3817
360,3941,10,3941
370,8318,10,8318
380,2049,10,2049
390,3469,10,3469
400,3241,10,3241
410,7196,10,7196
420,3620,10,3620
430,680,10,680
440,1065,10,1065
450,223,10,223
460,303,10,303
470,7448,10,7448
