river_name,ship_type,distance_bin_km,n_records,bin_width_km,density_records_per_10km
Danube,Cargo,370,226,10,226
Danube,Cargo,380,11,10,11
Danube,Cargo,390,4,10,4
Danube,Cargo,410,1,10,1
Danube,Other,370,60,10,60
Danube,Passenger Ship,370,66,10,66
Danube,Passenger Ship,410,3,10,3
Danube,Unknown,350,10,10,10
Danube,Unknown,360,20,10,20
Danube,Unknown,370,2149,10,2149
Danube,Unknown,380,879,10,879
Danube,Unknown,390,49,10,49
Danube,Unknown,400,26,10,26
Danube,Unknown,410,22,10,22
Elbe,Cargo,100,82,10,82
Elbe,Cargo,320,11,10,11
Elbe,Cargo,330,20,10,20
Elbe,Cargo,350,18198,10,18198
Elbe,Other,320,12,10,12
Elbe,Other,330,131,10,131
Elbe,Other,340,21,10,21
Elbe,Other,350,3798,10,3798
Elbe,Passenger Ship,0,739,10,739
Elbe,Passenger Ship,70,2,10,2
Elbe,Passenger Ship,80,836,10,836
Elbe,Passenger Ship,130,318,10,318
Elbe,Passenger Ship,330,117,10,117
Elbe,Passenger Ship,340,207,10,207
Elbe,Passenger Ship,350,37667,10,37667
Elbe,Tanker,90,161,10,161
Elbe,Tanker,120,1,10,1
Elbe,Tanker,130,12,10,12
Elbe,Tanker,140,8,10,8
Elbe,Tanker,310,1,10,1
Elbe,Tanker,320,11,10,11
Elbe,Tanker,330,92,10,92
Elbe,Tanker,340,7,10,7
Elbe,Tanker,350,9909,10,9909
Elbe,Unknown,0,2471,10,2471
Elbe,Unknown,50,186,10,186
Elbe,Unknown,80,755,10,755
Elbe,Unknown,90,1315,10,1315
Elbe,Unknown,100,13,10,13
Elbe,Unknown,140,447,10,447
Elbe,Unknown,310,267,10,267
Elbe,Unknown,320,424,10,424
Elbe,Unknown,330,791,10,791
Elbe,Unknown,340,24,10,24
Elbe,Unknown,350,15679,10,15679
Elbe,Wing In Ground,340,19,10,19
Elbe,Wing In Ground,350,267,10,267
Ems,Cargo,190,5,10,5
Ems,Cargo,200,15,10,15
Ems,Cargo,220,6,10,6
Ems,Cargo,230,68,10,68
Ems,Cargo,250,2,10,2
Ems,Unknown,90,1,10,1
Ems,Unknown,170,58,10,58
Ems,Unknown,190,172,10,172
Ems,Unknown,200,1,10,1
Ems,Unknown,210,64,10,64
Ems,Unknown,220,172,10,172
Ems,Unknown,230,3,10,3
Ems,Unknown,240,2,10,2
Ems,Unknown,250,56,10,56
Ems,Unknown,260,75,10,75
Ems,Unknown,270,558,10,558
Main,Cargo,280,4,10,4
Main,Cargo,410,8,10,8
Main,Cargo,420,278,10,278
Main,Cargo,440,3,10,3
Main,Cargo,450,31,10,31
Main,Other,300,3,10,3
Main,Passenger Ship,200,7,10,7
Main,Passenger Ship,420,291,10,291
Main,Passenger Ship,440,2,10,2
Main,Passenger Ship,450,2,10,2
Main,Special Craft,190,171,10,171
Main,Tanker,400,5,10,5
Main,Tanker,410,5,10,5
Main,Tanker,420,95,10,95
Main,Tanker,440,5,10,5
Main,Tanker,450,14,10,14
Main,Unknown,140,19,10,19
Main,Unknown,170,2,10,2
Main,Unknown,190,598,10,598
Main,Unknown,200,7,10,7
Main,Unknown,220,1,10,1
Main,Unknown,250,1,10,1
Main,Unknown,280,461,10,461
Main,Unknown,300,2,10,2
Main,Unknown,350,2,10,2
Main,Unknown,400,44,10,44
Main,Unknown,410,29,10,29
Main,Unknown,420,3106,10,3106
Main,Unknown,430,46,10,46
Main,Unknown,440,37,10,37
Main,Unknown,450,145,10,145
Moselle,Cargo,10,8,10,8
Moselle,Cargo,20,62,10,62
Moselle,Cargo,30,169,10,169
Moselle,Cargo,40,1,10,1
Moselle,Cargo,80,2,10,2
Moselle,Cargo,130,1,10,1
Moselle,Cargo,140,27,10,27
Moselle,Cargo,150,18,10,18
Moselle,Cargo,160,6,10,6
Moselle,Cargo,190,44,10,44
Moselle,Other,20,81,10,81
Moselle,Other,30,71,10,71
Moselle,Other,120,181,10,181
Moselle,Other,140,96,10,96
Moselle,Other,150,21,10,21
Moselle,Other,160,2,10,2
Moselle,Other,190,27,10,27
Moselle,Tanker,20,4,10,4
Moselle,Tanker,30,11,10,11
Moselle,Tanker,140,5,10,5
Moselle,Unknown,10,17,10,17
Moselle,Unknown,20,227,10,227
Moselle,Unknown,30,304,10,304
Moselle,Unknown,40,5,10,5
Moselle,Unknown,60,2,10,2
Moselle,Unknown,70,24,10,24
Moselle,Unknown,80,3,10,3
Moselle,Unknown,100,10,10,10
Moselle,Unknown,110,255,10,255
Moselle,Unknown,120,246,10,246
Moselle,Unknown,130,55,10,55
Moselle,Unknown,140,700,10,700
Moselle,Unknown,150,51,10,51
Moselle,Unknown,160,4,10,4
Moselle,Unknown,170,80,10,80
Moselle,Unknown,180,22,10,22
Moselle,Unknown,190,100,10,100
Rhine,Cargo,0,117,10,117
Rhine,Cargo,10,144,10,144
Rhine,Cargo,30,172,10,172
Rhine,Cargo,40,61,10,61
Rhine,Cargo,50,1047,10,1047
Rhine,Cargo,60,561,10,561
Rhine,Cargo,70,2000,10,2000
Rhine,Cargo,80,215,10,215
Rhine,Cargo,90,202,10,202
Rhine,Cargo,100,400,10,400
Rhine,Cargo,110,82,10,82
Rhine,Cargo,120,18,10,18
Rhine,Cargo,130,11,10,11
Rhine,Cargo,140,10,10,10
Rhine,Cargo,160,2,10,2
Rhine,Cargo,170,3,10,3
Rhine,Cargo,180,26,10,26
Rhine,Cargo,190,2,10,2
Rhine,Cargo,200,35,10,35
Rhine,Cargo,210,1,10,1
Rhine,Cargo,220,19,10,19
Rhine,Cargo,230,5,10,5
Rhine,Cargo,250,91,10,91
Rhine,Cargo,260,86,10,86
Rhine,Cargo,270,326,10,326
Rhine,Cargo,280,300,10,300
Rhine,Cargo,290,1046,10,1046
Rhine,Cargo,300,162,10,162
Rhine,Cargo,310,329,10,329
Rhine,Cargo,320,1867,10,1867
Rhine,Cargo,330,940,10,940
Rhine,Cargo,340,298,10,298
Rhine,Cargo,350,727,10,727
Rhine,Cargo,360,803,10,803
Rhine,Cargo,370,1977,10,1977
Rhine,Cargo,380,244,10,244
Rhine,Cargo,390,651,10,651
Rhine,Cargo,400,675,10,675
Rhine,Cargo,410,812,10,812
Rhine,Cargo,420,1273,10,1273
Rhine,Cargo,430,182,10,182
Rhine,Cargo,440,215,10,215
Rhine,Cargo,450,30,10,30
Rhine,Cargo,460,48,10,48
Rhine,Cargo,470,1573,10,1573
Rhine,Other,0,73,10,73
Rhine,Other,10,55,10,55
Rhine,Other,30,56,10,56
Rhine,Other,40,24,10,24
Rhine,Other,50,19,10,19
Rhine,Other,60,17,10,17
Rhine,Other,70,404,10,404
Rhine,Other,80,52,10,52
Rhine,Other,90,2,10,2
Rhine,Other,100,18,10,18
Rhine,Other,110,3,10,3
Rhine,Other,140,13,10,13
Rhine,Other,150,1,10,1
Rhine,Other,180,8,10,8
Rhine,Other,190,77,10,77
Rhine,Other,220,10,10,10
Rhine,Other,230,7,10,7
Rhine,Other,240,3,10,3
Rhine,Other,250,44,10,44
Rhine,Other,260,56,10,56
Rhine,Other,270,95,10,95
Rhine,Other,280,84,10,84
Rhine,Other,290,198,10,198
Rhine,Other,300,863,10,863
Rhine,Other,310,190,10,190
Rhine,Other,320,1070,10,1070
Rhine,Other,330,152,10,152
Rhine,Other,340,519,10,519
Rhine,Other,350,682,10,682
Rhine,Other,360,94,10,94
Rhine,Other,370,647,10,647
Rhine,Other,380,406,10,406
Rhine,Other,390,258,10,258
Rhine,Other,400,503,10,503
Rhine,Other,410,584,10,584
Rhine,Other,420,235,10,235
Rhine,Other,430,101,10,101
Rhine,Other,440,60,10,60
Rhine,Other,450,1,10,1
Rhine,Other,460,1,10,1
Rhine,Other,470,1428,10,1428
Rhine,Passenger Ship,0,10,10,10
Rhine,Passenger Ship,10,35,10,35
Rhine,Passenger Ship,30,141,10,141
Rhine,Passenger Ship,40,31,10,31
Rhine,Passenger Ship,50,143,10,143
Rhine,Passenger Ship,60,64,10,64
Rhine,Passenger Ship,80,29,10,29
Rhine,Passenger Ship,90,15,10,15
Rhine,Passenger Ship,100,241,10,241
Rhine,Passenger Ship,120,31,10,31
Rhine,Passenger Ship,140,25,10,25
Rhine,Passenger Ship,160,11,10,11
Rhine,Passenger Ship,220,14,10,14
Rhine,Passenger Ship,230,3,10,3
Rhine,Passenger Ship,240,5,10,5
Rhine,Passenger Ship,250,1,10,1
Rhine,Passenger Ship,260,31,10,31
Rhine,Passenger Ship,270,98,10,98
Rhine,Passenger Ship,280,278,10,278
Rhine,Passenger Ship,290,22,10,22
